,city,lat,lon,population
4567,Carora,10.1692,-70.0783,112600.0
4575,Campo Largo,-25.4589,-49.5278,112377.0
4580,Santana,-0.035,-51.175,112218.0
4585,Araruama,-22.8728,-42.3428,112008.0
4588,Corumbá,-19.0089,-57.6528,112058.0
4595,Colatina,-19.5389,-40.6308,111788.0
4602,Parintins,-2.6278,-56.7358,111575.0
4617,Villa Mercedes,-33.6667,-65.4667,111391.0
4632,Catalão,-18.17,-47.9419,110983.0
4648,Quíbor,9.9281,-69.5778,110536.0
4649,Ourinhos,-22.9789,-49.8708,110282.0
4652,Socopó,8.2322,-70.8206,110512.0
4661,Tinaquillo,9.9167,-68.3,110000.0
4671,Pisco,-13.71,-76.2032,109965.0
4675,Altamira,-3.2028,-52.2058,109938.0
4679,Itabira,-19.6189,-43.2269,109783.0
4688,Aguachica,8.3067,-73.6153,109621.0
4697,Gualeguaychú,-33.0078,-58.5111,109461.0
4699,Espejo,-33.5333,-70.7167,98804.0
4712,Ipiales,0.8289,-77.6406,109116.0
4718,São Mateus,-18.7158,-39.8589,109028.0
4733,Alto Hospicio,-20.25,-70.1167,108375.0
4741,El Limón,10.3003,-67.6336,106206.0
